Case 1:
No problem! :D
No problem! :D
No problem! :D
No problem! :D
No problem! :D
No problem! :D
No problem! :D
No problem! :D
No problem! :D
No problem! :D
No problem. :(
No problem. :(
Case 2:
No problem. :(
No problem. :(
No problem. :(
No problem. :(
No problem. :(
No problem. :(
No problem. :(
No problem. :(
No problem. :(
No problem. :(
No problem! :D
No problem. :(
Case 3:
No problem. :(
No problem. :(
No problem! :D
No problem. :(
No problem! :D
No problem! :D
No problem! :D
No problem. :(
No problem! :D
No problem! :D
No problem! :D
No problem! :D
Case 4:
No problem! :D
No problem. :(
No problem! :D
No problem. :(
No problem! :D
No problem! :D
No problem! :D
No problem. :(
No problem! :D
No problem! :D
No problem! :D
No problem! :D
Case 5:
No problem! :D
No problem! :D
No problem! :D
No problem! :D
No problem! :D
No problem! :D
No problem! :D
No problem! :D
No problem! :D
No problem! :D
No problem! :D
No problem! :D
Case 6:
No problem! :D
No problem! :D
No problem! :D
No problem! :D
No problem! :D
No problem! :D
No problem! :D
No problem! :D
No problem! :D
No problem! :D
No problem! :D
No problem! :D
Case 7:
No problem! :D
No problem! :D
No problem! :D
No problem! :D
No problem! :D
No problem! :D
No problem! :D
No problem! :D
No problem. :(
No problem! :D
No problem. :(
No problem! :D
Case 8:
No problem! :D
No problem! :D
No problem! :D
No problem! :D
No problem! :D
No problem! :D
No problem! :D
No problem! :D
No problem! :D
No problem! :D
No problem! :D
No problem! :D
Case 9:
No problem! :D
No problem! :D
No problem! :D
No problem! :D
No problem! :D
No problem! :D
No problem! :D
No problem! :D
No problem! :D
No problem! :D
No problem! :D
No problem! :D
Case 10:
No problem! :D
No problem! :D
No problem! :D
No problem! :D
No problem! :D
No problem! :D
No problem! :D
No problem! :D
No problem! :D
No problem! :D
No problem! :D
No problem. :(
Case 11:
No problem. :(
No problem. :(
No problem. :(
No problem. :(
No problem. :(
No problem. :(
No problem. :(
No problem. :(
No problem. :(
No problem. :(
No problem. :(
No problem. :(
